headline,pubDate,tokens,lemmatized_tokens,source,voice_spacy,Described Victim,Suffering Label,Perpetrator,mentions_death,Implicit Perpetrator,week,voice_gpt4
"Israel attack: What is Hamas, and other questions",2023-10-07,"['Israel', 'attack:', 'What', 'is', 'Hamas,', 'and', 'other', 'questions']","['Israel', 'attack:', 'What', 'is', 'Hamas,', 'and', 'other', 'question']",bbc,unclear,,No suffering described,none,0,Israel,2023-10-02,active
Watch: How Hamas' shock attack on Israel unfolded,2023-10-07,"['Watch:', 'How', ""Hamas'"", 'shock', 'attack', 'on', 'Israel', 'unfolded']","['Watch:', 'How', ""Hamas'"", 'shock', 'attack', 'on', 'Israel', 'unfolded']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,passive
Israel attack: PM says Israel at war after 250 killed in attack from Gaza,2023-10-07,"['Israel', 'attack:', 'PM', 'says', 'Israel', 'at', 'war', 'after', '250', 'killed', 'in', 'attack', 'from', 'Gaza']","['Israel', 'attack:', 'PM', 'say', 'Israel', 'at', 'war', 'after', '250', 'killed', 'in', 'attack', 'from', 'Gaza']",bbc,active,1.0,Israeli suffering,none,1,Hamas,2023-10-02,active
How did Israeli intelligence fail to stop major attack from Gaza?,2023-10-07,"['How', 'did', 'Israeli', 'intelligence', 'fail', 'to', 'stop', 'major', 'attack', 'from', 'Gaza?']","['How', 'did', 'Israeli', 'intelligence', 'fail', 'to', 'stop', 'major', 'attack', 'from', 'Gaza?']",bbc,active,1.0,Israeli suffering,none,0,Hamas,2023-10-02,passive
Hamas blindsides Israel with most serious attack in a generation - Jeremy Bowen,2023-10-07,"['Hamas', 'blindsides', 'Israel', 'with', 'most', 'serious', 'attack', 'in', 'a', 'generation', '-', 'Jeremy', 'Bowen']","['Hamas', 'blindsides', 'Israel', 'with', 'most', 'serious', 'attack', 'in', 'a', 'generation', '-', 'Jeremy', 'Bowen']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
Trump’s Claim That U.S. Taxpayer Money Funded Hamas Attacks Is False,2023-10-08,"['Trump’s', 'Claim', 'That', 'U.S.', 'Taxpayer', 'Money', 'Funded', 'Hamas', 'Attacks', 'Is', 'False']","['Trump’s', 'Claim', 'That', 'U.S.', 'Taxpayer', 'Money', 'Funded', 'Hamas', 'Attacks', 'Is', 'False']",nyt,unclear,,No suffering described,none,0,Other,2023-10-02,active
"After Hamas Attack, U.S. to Send Weapons and Warships to Support Israel",2023-10-08,"['After', 'Hamas', 'Attack,', 'U.S.', 'to', 'Send', 'Weapons', 'and', 'Warships', 'to', 'Support', 'Israel']","['After', 'Hamas', 'Attack,', 'U.S.', 'to', 'Send', 'Weapons', 'and', 'Warships', 'to', 'Support', 'Israel']",nyt,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,active
‘There Were Terrorists Inside’: How Hamas’s Attack on Israel Unfolded,2023-10-08,"['‘There', 'Were', 'Terrorists', 'Inside’:', 'How', 'Hamas’s', 'Attack', 'on', 'Israel', 'Unfolded']","['‘There', 'Were', 'Terrorists', 'Inside’:', 'How', 'Hamas’s', 'Attack', 'on', 'Israel', 'Unfolded']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,passive
McCarthy Allies Criticize Far Right for Leaderless House as Israel Is Attacked,2023-10-08,"['McCarthy', 'Allies', 'Criticize', 'Far', 'Right', 'for', 'Leaderless', 'House', 'as', 'Israel', 'Is', 'Attacked']","['McCarthy', 'Allies', 'Criticize', 'Far', 'Right', 'for', 'Leaderless', 'House', 'a', 'Israel', 'Is', 'Attacked']",nyt,passive,1.0,Israeli suffering,none,0,Other,2023-10-02,passive
A Surprise Attack on Israel,2023-10-08,"['A', 'Surprise', 'Attack', 'on', 'Israel']","['A', 'Surprise', 'Attack', 'on', 'Israel']",nyt,unclear,1.0,Israeli suffering,none,0,Other,2023-10-02,passive
Egypt: police officer shoots dead two Israeli tourists and Egyptian guide,2023-10-08,"['Egypt:', 'police', 'officer', 'shoots', 'dead', 'two', 'Israeli', 'tourists', 'and', 'Egyptian', 'guide']","['Egypt:', 'police', 'officer', 'shoot', 'dead', 'two', 'Israeli', 'tourist', 'and', 'Egyptian', 'guide']",guardian,active,1.0,Israeli suffering,egypt: police officer,0,Other,2023-10-02,active
Hamas Attack Raises Questions Over an Israeli Intelligence Failure,2023-10-08,"['Hamas', 'Attack', 'Raises', 'Questions', 'Over', 'an', 'Israeli', 'Intelligence', 'Failure']","['Hamas', 'Attack', 'Raises', 'Questions', 'Over', 'an', 'Israeli', 'Intelligence', 'Failure']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,passive
"Death toll rises to more than 1,100 after surprise Hamas attack on Israel",2023-10-08,"['Death', 'toll', 'rises', 'to', 'more', 'than', '1,100', 'after', 'surprise', 'Hamas', 'attack', 'on', 'Israel']","['Death', 'toll', 'rise', 'to', 'more', 'than', '1,100', 'after', 'surprise', 'Hamas', 'attack', 'on', 'Israel']",guardian,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-02,passive
"Nathanel Young, British man serving in Israeli military, killed in Hamas attack",2023-10-08,"['Nathanel', 'Young,', 'British', 'man', 'serving', 'in', 'Israeli', 'military,', 'killed', 'in', 'Hamas', 'attack']","['Nathanel', 'Young,', 'British', 'man', 'serving', 'in', 'Israeli', 'military,', 'killed', 'in', 'Hamas', 'attack']",bbc,unclear,1.0,Israeli suffering,hamas,1,Hamas,2023-10-02,passive
Destroyed cars line road near Israel festival in chilling video,2023-10-08,"['Destroyed', 'cars', 'line', 'road', 'near', 'Israel', 'festival', 'in', 'chilling', 'video']","['Destroyed', 'car', 'line', 'road', 'near', 'Israel', 'festival', 'in', 'chilling', 'video']",bbc,unclear,1.0,Israeli suffering,none,0,Other,2023-10-02,passive
Here’s a timeline of Saturday’s attacks and Israel’s retaliation.,2023-10-08,"['Here’s', 'a', 'timeline', 'of', 'Saturday’s', 'attacks', 'and', 'Israel’s', 'retaliation.']","['Here’s', 'a', 'timeline', 'of', 'Saturday’s', 'attack', 'and', 'Israel’s', 'retaliation.']",nyt,active,1.0,Israeli suffering,none,0,Israel,2023-10-02,active
"Two Israeli tourists and local guide shot dead in Egypt, Israel says",2023-10-08,"['Two', 'Israeli', 'tourists', 'and', 'local', 'guide', 'shot', 'dead', 'in', 'Egypt,', 'Israel', 'says']","['Two', 'Israeli', 'tourist', 'and', 'local', 'guide', 'shot', 'dead', 'in', 'Egypt,', 'Israel', 'say']",bbc,active,1.0,Israeli suffering,none,0,Other,2023-10-02,passive
Gaza hospital deluged as Israel retaliation kills and wounds hundreds,2023-10-08,"['Gaza', 'hospital', 'deluged', 'as', 'Israel', 'retaliation', 'kills', 'and', 'wounds', 'hundreds']","['Gaza', 'hospital', 'deluged', 'a', 'Israel', 'retaliation', 'kill', 'and', 'wound', 'hundred']",bbc,active,0.0,Palestinian suffering,israel,1,Israel,2023-10-02,passive
Fear for fate of hostages seized by Hamas ,2023-10-08,"['Fear', 'for', 'fate', 'of', 'hostages', 'seized', 'by', 'Hamas']","['Fear', 'for', 'fate', 'of', 'hostage', 'seized', 'by', 'Hamas']",bbc,unclear,,No suffering described,hamas,0,Hamas,2023-10-02,active
The Attack on Israel Demands Unity and Resolve,2023-10-09,"['The', 'Attack', 'on', 'Israel', 'Demands', 'Unity', 'and', 'Resolve']","['The', 'Attack', 'on', 'Israel', 'Demands', 'Unity', 'and', 'Resolve']",nyt,unclear,,No suffering described,none,0,Other,2023-10-09,active
"For 26 Hours, One Family Took Shelter as Hamas Attackers Overran Their Kibbutz",2023-10-09,"['For', '26', 'Hours,', 'One', 'Family', 'Took', 'Shelter', 'as', 'Hamas', 'Attackers', 'Overran', 'Their', 'Kibbutz']","['For', '26', 'Hours,', 'One', 'Family', 'Took', 'Shelter', 'a', 'Hamas', 'Attackers', 'Overran', 'Their', 'Kibbutz']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
‘I Just Hope That They Are Alive’: How Hamas Abducted 150 Israelis,2023-10-09,"['‘I', 'Just', 'Hope', 'That', 'They', 'Are', 'Alive’:', 'How', 'Hamas', 'Abducted', '150', 'Israelis']","['‘I', 'Just', 'Hope', 'That', 'They', 'Are', 'Alive’:', 'How', 'Hamas', 'Abducted', '150', 'Israelis']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
Israel’s Attackers Took Over 200 Hostages. Here’s What to Know About Them.,2023-10-09,"['Israel’s', 'Attackers', 'Took', 'Over', '200', 'Hostages.', 'Here’s', 'What', 'to', 'Know', 'About', 'Them.']","['Israel’s', 'Attackers', 'Took', 'Over', '200', 'Hostages.', 'Here’s', 'What', 'to', 'Know', 'About', 'Them.']",nyt,active,1.0,Israeli suffering,none,0,Other,2023-10-09,active
Israel Orders ‘Complete Siege’ of Gaza and Hamas Threatens to Kill Hostages,2023-10-09,"['Israel', 'Orders', '‘Complete', 'Siege’', 'of', 'Gaza', 'and', 'Hamas', 'Threatens', 'to', 'Kill', 'Hostages']","['Israel', 'Orders', '‘Complete', 'Siege’', 'of', 'Gaza', 'and', 'Hamas', 'Threatens', 'to', 'Kill', 'Hostages']",nyt,active,0.0,Palestinian suffering,hamas,1,Hamas,2023-10-09,active
Attack Ends Israel’s Hope That Hamas Might Come to Embrace Stability,2023-10-09,"['Attack', 'Ends', 'Israel’s', 'Hope', 'That', 'Hamas', 'Might', 'Come', 'to', 'Embrace', 'Stability']","['Attack', 'Ends', 'Israel’s', 'Hope', 'That', 'Hamas', 'Might', 'Come', 'to', 'Embrace', 'Stability']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
"At least 11 U.S. citizens were killed in Israel, Biden says, and others may be captives of Hamas.",2023-10-09,"['At', 'least', '11', 'U.S.', 'citizens', 'were', 'killed', 'in', 'Israel,', 'Biden', 'says,', 'and', 'others', 'may', 'be', 'captives', 'of', 'Hamas.']","['At', 'least', '11', 'U.S.', 'citizen', 'were', 'killed', 'in', 'Israel,', 'Biden', 'says,', 'and', 'others', 'may', 'be', 'captive', 'of', 'Hamas.']",nyt,passive,1.0,Israeli suffering,hamas,1,Hamas,2023-10-09,passive
"Israeli Airstrikes Hit Marketplace and Mosques in Gaza, Killing Dozens",2023-10-09,"['Israeli', 'Airstrikes', 'Hit', 'Marketplace', 'and', 'Mosques', 'in', 'Gaza,', 'Killing', 'Dozens']","['Israeli', 'Airstrikes', 'Hit', 'Marketplace', 'and', 'Mosques', 'in', 'Gaza,', 'Killing', 'Dozens']",nyt,active,0.0,Palestinian suffering,israel,1,Israel,2023-10-09,active
"No evidence yet of Iran link to Hamas attack, says Israeli military",2023-10-09,"['No', 'evidence', 'yet', 'of', 'Iran', 'link', 'to', 'Hamas', 'attack,', 'says', 'Israeli', 'military']","['No', 'evidence', 'yet', 'of', 'Iran', 'link', 'to', 'Hamas', 'attack,', 'say', 'Israeli', 'military']",guardian,active,,No suffering described,none,0,Hamas,2023-10-09,active
Israeli Father Tells of Moment His Wife and Children Became Hostages,2023-10-09,"['Israeli', 'Father', 'Tells', 'of', 'Moment', 'His', 'Wife', 'and', 'Children', 'Became', 'Hostages']","['Israeli', 'Father', 'Tells', 'of', 'Moment', 'His', 'Wife', 'and', 'Children', 'Became', 'Hostages']",nyt,active,1.0,Israeli suffering,none,0,Hamas,2023-10-09,active
The Papers: 'Israel declares siege' and 'Hamas threatens hostages'   ,2023-10-09,"['The', 'Papers:', ""'Israel"", 'declares', ""siege'"", 'and', ""'Hamas"", 'threatens', ""hostages'""]","['The', 'Papers:', ""'Israel"", 'declares', ""siege'"", 'and', ""'Hamas"", 'threatens', ""hostages'""]",bbc,active,,No suffering described,hamas,0,Hamas,2023-10-09,active
Hamas Israel attacks: The international victims of the assault on Israel,2023-10-09,"['Hamas', 'Israel', 'attacks:', 'The', 'international', 'victims', 'of', 'the', 'assault', 'on', 'Israel']","['Hamas', 'Israel', 'attacks:', 'The', 'international', 'victim', 'of', 'the', 'assault', 'on', 'Israel']",bbc,active,2.0,Other suffering,hamas,0,Hamas,2023-10-09,active
Hamas hostages: 'My wife and children have been taken to Gaza',2023-10-09,"['Hamas', 'hostages:', ""'My"", 'wife', 'and', 'children', 'have', 'been', 'taken', 'to', ""Gaza'""]","['Hamas', 'hostages:', ""'My"", 'wife', 'and', 'child', 'have', 'been', 'taken', 'to', ""Gaza'""]",bbc,passive,0.0,Palestinian suffering,hamas,0,Hamas,2023-10-09,active
US moves warships closer to Israel after Hamas attack,2023-10-09,"['US', 'moves', 'warships', 'closer', 'to', 'Israel', 'after', 'Hamas', 'attack']","['US', 'move', 'warship', 'closer', 'to', 'Israel', 'after', 'Hamas', 'attack']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
"Israelis, united in shock, rally behind war to punish Hamas",2023-10-09,"['Israelis,', 'united', 'in', 'shock,', 'rally', 'behind', 'war', 'to', 'punish', 'Hamas']","['Israelis,', 'united', 'in', 'shock,', 'rally', 'behind', 'war', 'to', 'punish', 'Hamas']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
Did Iran support plan for attack on Israel?,2023-10-09,"['Did', 'Iran', 'support', 'plan', 'for', 'attack', 'on', 'Israel?']","['Did', 'Iran', 'support', 'plan', 'for', 'attack', 'on', 'Israel?']",bbc,active,,No suffering described,none,0,Other,2023-10-09,active
Israel-Gaza attacks: More than 10 Britons feared dead or missing,2023-10-09,"['Israel-Gaza', 'attacks:', 'More', 'than', '10', 'Britons', 'feared', 'dead', 'or', 'missing']","['Israel-Gaza', 'attacks:', 'More', 'than', '10', 'Britons', 'feared', 'dead', 'or', 'missing']",bbc,active,2.0,Other suffering,none,0,Other,2023-10-09,passive
Why did it take Israel so long to deal with Hamas's attack from Gaza?,2023-10-09,"['Why', 'did', 'it', 'take', 'Israel', 'so', 'long', 'to', 'deal', 'with', ""Hamas's"", 'attack', 'from', 'Gaza?']","['Why', 'did', 'it', 'take', 'Israel', 'so', 'long', 'to', 'deal', 'with', ""Hamas's"", 'attack', 'from', 'Gaza?']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
"Israel Orders Gaza ‘Siege,’ Hamas Threatens to Kill Hostages, and More",2023-10-10,"['Israel', 'Orders', 'Gaza', '‘Siege,’', 'Hamas', 'Threatens', 'to', 'Kill', 'Hostages,', 'and', 'More']","['Israel', 'Orders', 'Gaza', '‘Siege,’', 'Hamas', 'Threatens', 'to', 'Kill', 'Hostages,', 'and', 'More']",nyt,active,0.0,Palestinian suffering,hamas,1,Hamas,2023-10-09,active
Iran’s Supreme Leader Issues Tehran’s Latest Denial of Involvement in Israel Attacks,2023-10-10,"['Iran’s', 'Supreme', 'Leader', 'Issues', 'Tehran’s', 'Latest', 'Denial', 'of', 'Involvement', 'in', 'Israel', 'Attacks']","['Iran’s', 'Supreme', 'Leader', 'Issues', 'Tehran’s', 'Latest', 'Denial', 'of', 'Involvement', 'in', 'Israel', 'Attacks']",nyt,unclear,,No suffering described,none,0,Other,2023-10-09,active
Putin Offers Muted Response to Attack on Israel. That Speaks Volumes.,2023-10-10,"['Putin', 'Offers', 'Muted', 'Response', 'to', 'Attack', 'on', 'Israel.', 'That', 'Speaks', 'Volumes.']","['Putin', 'Offers', 'Muted', 'Response', 'to', 'Attack', 'on', 'Israel.', 'That', 'Speaks', 'Volumes.']",nyt,active,,No suffering described,none,0,Other,2023-10-09,active
Peace Activists Are Among the Israelis Missing and Killed,2023-10-10,"['Peace', 'Activists', 'Are', 'Among', 'the', 'Israelis', 'Missing', 'and', 'Killed']","['Peace', 'Activists', 'Are', 'Among', 'the', 'Israelis', 'Missing', 'and', 'Killed']",nyt,active,1.0,Israeli suffering,none,1,Israel,2023-10-09,passive
"At Harvard, a Battle Over What Should Be Said About the Hamas Attacks",2023-10-10,"['At', 'Harvard,', 'a', 'Battle', 'Over', 'What', 'Should', 'Be', 'Said', 'About', 'the', 'Hamas', 'Attacks']","['At', 'Harvard,', 'a', 'Battle', 'Over', 'What', 'Should', 'Be', 'Said', 'About', 'the', 'Hamas', 'Attacks']",nyt,passive,,No suffering described,hamas,0,Hamas,2023-10-09,active
How Hamas Attacked Israel’s Communications Towers,2023-10-10,"['How', 'Hamas', 'Attacked', 'Israel’s', 'Communications', 'Towers']","['How', 'Hamas', 'Attacked', 'Israel’s', 'Communications', 'Towers']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
"In Unforgiving Terms, Biden Condemns ‘Evil’ and ‘Abhorrent’ Attack on Israel",2023-10-10,"['In', 'Unforgiving', 'Terms,', 'Biden', 'Condemns', '‘Evil’', 'and', '‘Abhorrent’', 'Attack', 'on', 'Israel']","['In', 'Unforgiving', 'Terms,', 'Biden', 'Condemns', '‘Evil’', 'and', '‘Abhorrent’', 'Attack', 'on', 'Israel']",nyt,unclear,1.0,Israeli suffering,none,0,Other,2023-10-09,active
Biden Calls Hamas Attacks in Israel ‘Pure Unadulterated Evil’,2023-10-10,"['Biden', 'Calls', 'Hamas', 'Attacks', 'in', 'Israel', '‘Pure', 'Unadulterated', 'Evil’']","['Biden', 'Calls', 'Hamas', 'Attacks', 'in', 'Israel', '‘Pure', 'Unadulterated', 'Evil’']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
"After Attack on Israel, Politicians Are Asked, ‘Which Side Are You On?’",2023-10-10,"['After', 'Attack', 'on', 'Israel,', 'Politicians', 'Are', 'Asked,', '‘Which', 'Side', 'Are', 'You', 'On?’']","['After', 'Attack', 'on', 'Israel,', 'Politicians', 'Are', 'Asked,', '‘Which', 'Side', 'Are', 'You', 'On?’']",nyt,passive,,No suffering described,none,0,Other,2023-10-09,active
Late Night Hosts Address the Hamas Attacks on Israel,2023-10-10,"['Late', 'Night', 'Hosts', 'Address', 'the', 'Hamas', 'Attacks', 'on', 'Israel']","['Late', 'Night', 'Hosts', 'Address', 'the', 'Hamas', 'Attacks', 'on', 'Israel']",nyt,unclear,,No suffering described,hamas,0,Hamas,2023-10-09,active
Hamas hostages: 'The terrorists have her and her babies',2023-10-10,"['Hamas', 'hostages:', ""'The"", 'terrorists', 'have', 'her', 'and', 'her', ""babies'""]","['Hamas', 'hostages:', ""'The"", 'terrorist', 'have', 'her', 'and', 'her', ""babies'""]",bbc,active,0.0,Palestinian suffering,hamas,0,Hamas,2023-10-09,active
Israel-Gaza attacks: Parents scared as Jewish schools' security increases,2023-10-10,"['Israel-Gaza', 'attacks:', 'Parents', 'scared', 'as', 'Jewish', ""schools'"", 'security', 'increases']","['Israel-Gaza', 'attacks:', 'Parents', 'scared', 'a', 'Jewish', ""schools'"", 'security', 'increase']",bbc,active,1.0,Israeli suffering,none,0,Other,2023-10-09,passive
Inside Kfar Aza where Hamas militants killed families in their homes,2023-10-10,"['Inside', 'Kfar', 'Aza', 'where', 'Hamas', 'militants', 'killed', 'families', 'in', 'their', 'homes']","['Inside', 'Kfar', 'Aza', 'where', 'Hamas', 'militant', 'killed', 'family', 'in', 'their', 'home']",bbc,active,0.0,Palestinian suffering,hamas,1,Hamas,2023-10-09,active
Israel-Gaza attacks: Vigil for victims held at Downing Street,2023-10-10,"['Israel-Gaza', 'attacks:', 'Vigil', 'for', 'victims', 'held', 'at', 'Downing', 'Street']","['Israel-Gaza', 'attacks:', 'Vigil', 'for', 'victim', 'held', 'at', 'Downing', 'Street']",bbc,unclear,0.0,Palestinian suffering,none,0,Other,2023-10-09,passive
Hamas hostages: Who are the people taken from Israel?,2023-10-10,"['Hamas', 'hostages:', 'Who', 'are', 'the', 'people', 'taken', 'from', 'Israel?']","['Hamas', 'hostages:', 'Who', 'are', 'the', 'people', 'taken', 'from', 'Israel?']",bbc,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,passive
Hamas’s Hostages,2023-10-11,"['Hamas’s', 'Hostages']","['Hamas’s', 'Hostages']",nyt,unclear,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,passive
What We Know About the Americans Missing or Killed in the Attack on Israel,2023-10-11,"['What', 'We', 'Know', 'About', 'the', 'Americans', 'Missing', 'or', 'Killed', 'in', 'the', 'Attack', 'on', 'Israel']","['What', 'We', 'Know', 'About', 'the', 'Americans', 'Missing', 'or', 'Killed', 'in', 'the', 'Attack', 'on', 'Israel']",nyt,active,1.0,Israeli suffering,none,1,Other,2023-10-09,passive
‘It’s like a nightmare’: families of Hamas hostages continue agonising wait for news,2023-10-11,"['‘It’s', 'like', 'a', 'nightmare’:', 'families', 'of', 'Hamas', 'hostages', 'continue', 'agonising', 'wait', 'for', 'news']","['‘It’s', 'like', 'a', 'nightmare’:', 'family', 'of', 'Hamas', 'hostage', 'continue', 'agonising', 'wait', 'for', 'news']",guardian,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
Israel Forms Unity Government and Bombs Gaza in the Wake of Hamas Attack,2023-10-11,"['Israel', 'Forms', 'Unity', 'Government', 'and', 'Bombs', 'Gaza', 'in', 'the', 'Wake', 'of', 'Hamas', 'Attack']","['Israel', 'Forms', 'Unity', 'Government', 'and', 'Bombs', 'Gaza', 'in', 'the', 'Wake', 'of', 'Hamas', 'Attack']",nyt,unclear,0.0,Palestinian suffering,israel,0,Israel,2023-10-09,active
Biden condemns Hamas for ‘act of sheer evil’ and says US citizens taken hostage,2023-10-11,"['Biden', 'condemns', 'Hamas', 'for', '‘act', 'of', 'sheer', 'evil’', 'and', 'says', 'US', 'citizens', 'taken', 'hostage']","['Biden', 'condemns', 'Hamas', 'for', '‘act', 'of', 'sheer', 'evil’', 'and', 'say', 'US', 'citizen', 'taken', 'hostage']",guardian,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
Biden Vows to Focus on Hostages as He Condemns the Hamas Attack in Israel,2023-10-11,"['Biden', 'Vows', 'to', 'Focus', 'on', 'Hostages', 'as', 'He', 'Condemns', 'the', 'Hamas', 'Attack', 'in', 'Israel']","['Biden', 'Vows', 'to', 'Focus', 'on', 'Hostages', 'a', 'He', 'Condemns', 'the', 'Hamas', 'Attack', 'in', 'Israel']",nyt,active,1.0,Israeli suffering,hamas,0,Hamas,2023-10-09,active
The attack on Israel has been called a ‘9/11 moment’. Therein lies a cautionary tale | Kenneth Roth,2023-10-11,"['The', 'attack', 'on', 'Israel', 'has', 'been', 'called', 'a', '‘9/11', 'moment’.', 'Therein', 'lies', 'a', 'cautionary', 'tale', '|', 'Kenneth', 'Roth']","['The', 'attack', 'on', 'Israel', 'ha', 'been', 'called', 'a', '‘9/11', 'moment’.', 'Therein', 'lie', 'a', 'cautionary', 'tale', '|', 'Kenneth', 'Roth']",guardian,passive,1.0,Israeli suffering,none,0,Other,2023-10-09,passive
False Claims Around Israel Attacks Include Recycled Videos and a Game Clip,2023-10-11,"['False', 'Claims', 'Around', 'Israel', 'Attacks', 'Include', 'Recycled', 'Videos', 'and', 'a', 'Game', 'Clip']","['False', 'Claims', 'Around', 'Israel', 'Attacks', 'Include', 'Recycled', 'Videos', 'and', 'a', 'Game', 'Clip']",nyt,unclear,,No suffering described,none,0,Other,2023-10-09,active
Israel’s Plan to Destroy Hamas,2023-10-11,"['Israel’s', 'Plan', 'to', 'Destroy', 'Hamas']","['Israel’s', 'Plan', 'to', 'Destroy', 'Hamas']",nyt,unclear,,No suffering described,israel,0,Israel,2023-10-09,active
"Early Intelligence Shows Hamas Attack Surprised Iranian Leaders, U.S. Says",2023-10-11,"['Early', 'Intelligence', 'Shows', 'Hamas', 'Attack', 'Surprised', 'Iranian', 'Leaders,', 'U.S.', 'Says']","['Early', 'Intelligence', 'Shows', 'Hamas', 'Attack', 'Surprised', 'Iranian', 'Leaders,', 'U.S.', 'Says']",nyt,active,,No suffering described,hamas,0,Hamas,2023-10-09,active
